Titre,Album,Année,Durée,Paroles,Compositeur,Auteur
Réveiller le monde,Point de suture,2008,"4,16","Fragile abîme
Pâle horizon
Son être se fige
C’est l’abandon
Les eaux qui souffrent en nous
Sont dérisions
Devant le souffle démon
De la soumission

Mettre en danger
Tous nos secrets
Ouvrir les portes
Diminuer l’obscurité
Si ce n’est vain
Pourquoi demain

Réveiller le monde
Rêver d’un autre « été »
Être doit répondre
Réveiller l’humanité
Révolus les mondes
Sans une révolution
J’appelle au grand nombre
Le droit d’aimer

C’est le tumulte, je peine
Je n’y vois plus
Que des anges aux pieds
Qui saignent
Aux cœurs cousus

Je suis un nom
Sommes légion…
Et de lumière
Sur les pavés
Coule le ré
De rébellion
De nos prières",Laurent Boutonnat,Mylène
Sextonik,Point de suture,2008,"4,35","Sous tension
Mais pure
Nulle amertume
Un frisson
Sous pression
S’affine
L’endorphine

Compagnon

Sous caution
Les sages
Divine image
De l’addiction
Stimu-stimu-long
Vibrent les origines
Libertines
Libérons… Que j’aime le

Sex sex sex sex sex tonik
Sex sex sex sex sex tonik
Serial joueur un jouet sans cœur
C’est le
Sex sex sex sex sex tonik
Sex sex sex sex sex tonik
Cyber skin serial lover killer

D’ivoire ou de
Jade
Au verre aimable
Un simulacre
Stimule de nacre 
Dis-moi comme
J’extase

Sculpté de bois
Réjouis-moi
Rejoue-le",Laurent Boutonnat,Mylène
C'est dans l'air,Point de suture,2008,"4,35","Vanité... c'est laid
Trahison... c'est laid
Lâcheté... c'est laid
Délation... c'est laid

La cruauté... c'est laid
La calomnie... c'est laid
L'âpreté... c'est laid
L'infamie... c'est laid

Les cabossés vous dérangent
Tous les fêlés sont des anges
Les opprimés vous démangent
Les mal-aimés, qui les venge ?

Les calamités dérangent
Les chaotiques sont des anges
Pas comme les autres, démangent
Les bons apôtres je les mange  

C'est dans l'air
C'est dans l'air
C'est dans l'air, c'est nécessaire
Prendre l'air
Respirer
Parfois piquer la poupée

C'est dans l'air
C'est dans l'air
C'est dans l'air, c'est millénaire
S'ennivrer
Coïter
Quid de nos amours passés

C'est dans l'air
C'est dans l'air
C'est dans l'air, c'est salutaire
Sauf qui peut
Sauve c'est mieux !
Sauf qu'ici, loin sont les cieux

C'est dans l'air
C'est dans l'air
C'est dans l'air, c'est nucléaire
On s'en fout
On est tout
On finira au fond du trou

Et... moi je chante
Moi je...m'invente une vie.

La fatuité... c'est laid
La tyrannie... c'est laid
La félonie... c'est laid
Mais la vie c'est ça aussi.

Tous les rebuts vous dérangent
Pourtant les fous sont des anges
Les incompris vous démangent
Que faire des ruses... Que fait le vent ?",Laurent Boutonnat,Mylène
Si j'avais au moins...,Point de suture,2008,"5,31","Qui n'a connu
Douleur immense
N'aura qu'un aperçu
Du temps
L'aiguille lente
Qu'il neige ou vente
L'omniprésente
Souligne ton absence
Partout

Qui n'a connu
L'instable règne
Qui n'a perdu
Ne sait la peine
Plus de réserve, du tout
Ni dieu, ni haine, s'en fout
Plus de superbe, j'ai tout
D'une peine...
Un enténèbrement

Tous mes démons
Les plus hostiles
Brisent des voix
Les plus fragiles
De tous mes anges
Les plus devoués
Et moi l'étrange paumée
Fiancée à l'enténèbrement...

Si j'avais au moins
Revu ton visage
Entrevu au loin
Le moindre nuage
Mais c'est à ceux
Qui se lèvent
Qu'on somme « d'espoir »
Dont on dit qu'ils saignent
Sans un aurevoir, de croire
Et moi pourquoi j'existe
Quand l'autre dit je meurs
Pourquoi plus rien n'agite
Ton cœur...",Laurent Boutonnat,Mylène
Ave Maria,Point de suture,2008,"4,57",,Frantz Schubert,Frantz Schubert
Oui mais... non,Bleu Noir,2010,"4,2","Ou oui ouou ou ?
Ou oui ouou ou ?
Ou oui ouou ou ?

Tout pas tout dit
Le monde entier
Dépend de nous
Destins fragiles
Et monde hostile
On devient fou

Tout pas tout dis
Mais la vie m'effraie
Elle a bon dos Oo
Ne voir que toi
Rien qu'une fois
Rend tout plus beau

Regarde-moi :
Être ou pas...
C'est n'être pas !
C'est peut être chic
De faire du toc
Tac au tac c'est l'ère du toc
C'est non
Han han
Bon
C'est peut être chic
C'est l'ère du toc
Pour l'authentique
On traque du stock
Du tac au tac
Changeons d'époque
Oh oui !
Dis-moi

Dis-moi oui
Mais non
Ne dis plus jamais non !
L'amour le loup
Est risque

Dis-moi oui
Mais non
Ne dis plus jamais non
Et plus
Mon coeur sous X

Dis-moi oui
Mais non
Ne dis plus jamais non
L'amour mon loup
Se risque

Dis-moi oui
Mais non
Dieu, mon dieu que c'est long
Sans toi,
Mon corps sous X

Call me now
Allongée sur le dos
L'amour rend tout plus beau
Oh-oh-oh-oh
Dis-moi oui
Mais non
Ne dis plus jamais non
Amour, le loup c'est ton nom

Tout pas tout dit
Ode à la vie
La mort compose
La nuit se couche
Les yeux rougis
L'aube est morose

Tout pas tout dit
Si la vie est gaie
Tout va à l eau Oo
Ô bateau ivre
Et joie de vivre
Me fait défaut

Regarde-moi :
Être ou pas...
C'est n'être pas !
C'est peut être chic
De faire du toc
Tac au tac c'est l'ère du toc
C'est non
Han han
Bon
C'est peut être chic
C'est l'ère du toc
Pour l'authentique
On traque du stock
Du tac au tac
Changeons d'époque
Oh oui !
Dis-moi

Dis-moi oui
Mais non
Ne dis plus jamais non
L'amour le loup
Est risque

Dis-moi oui
Mais non
Ne dis plus jamais non
Et plus
Mon coeur sous x

Dis-moi oui
Mais non
Ne dis plus jamais non
L'amour mon loup
Se risque

Dis-moi oui
Mais non
Dieu, mon dieu que c'est long
Sans toi,
Mon corps sous X

Call me now
Allongée sur le dos
L'amour rend tout plus beau
Wo oh oh-oh-oh
Dis moi oui
Mais non
Ne dis plus jamais non
Amour, le loup c'est ton nom

You baby boy
You baby love
You baby boy
Love lolove
Yo
You baby boy
You baby love
You baby boy
Love lolove",RedOne,Mylène
Moi je veux,Bleu Noir,2010,"3,3","Moi je veux c'est aimer
Moi je veux c'est aider
Moi je veux être aimée
Moi je veux c'est t'aimer
Moi je veux c'est t'aider
Moi je veux être adorée

Tu reviens toujours
Mélancolie
Comme un défi
Silence de dieu
Mais que le soir est triste
Pour l'indécis

Moi je veux c'est aimer
Moi je veux c'est aider
Moi je veux être aimée
Moi je veux c'est t'aimer
Moi je veux c'est t'aider
Moi je veux être adorée

Quand saigne mon cloître
Cruel c'est que je sombre
Épaisse est l'ombre
Oh ! Paradis noué
L'or des étoiles est pâle
Hivernal

Aimer aimer
Aime-moi
Aimer aimer
Aime-moi

Moi je veux c'est aimer
Moi je veux c'est aider
Moi je veux être aimée
Moi je veux c'est t'aimer
Moi je veux c'est t'aider
Moi je veux être adorée",Moby,Mylène
Bleu noir,Bleu Noir,2010,"4,05","Je marche vers les ténèbres
Vers l’horizon funeste
Mais la vie qui m’entoure et me baigne
Me dit quand même ça vaut la peine

Et qui peut se mouvoir
Dans ce convoi de larmes
Je te dédie ma mort
Et je saigne, saigne encore Mais…

La bataille est belle
Celle de l’amour
Disperse tout
La bataille est celle
De longs, longs jours
Mon amour

L’on peut se retourner
Mais le ruisseau ressemble à l’eau
Quand tu pars
Il n’en reste qu’un bleu noir

Je tombe en défaillance
Vienne ma délivrance
 Me dis quand même qu’au fond de ma peine
Survit un coeur couleur vermeille
Qui bat… car

La bataille est belle
Celle de l’amour
Disperse tout
La bataille est celle
De longs, longs jours
Mon amour ",Moby,Mylène
N'aie plus d'amertume,Bleu Noir,2010,"4,16","Dans ma mémoire qui dérape
Gardera le dur de l'asphalte
Tu préfères les angles plus aigus
D'un destin qui semble perdu

N'aie plus d'amertume
Et parle à la lune
Tu n'as pas le choix
C'est peut être moi
Si je n'ai pas su taire
Tes mots de colère
Je m'en veux tu vois
Te donne ma foi

N'aie plus d'amertume
Et parle à la lune
Dis-lui toi que l'âme
Parfois se fait mal
Mais il fait si noir
Détourne-toi de moi
Tu l'as fait déjà
Tu l'as fait déjà

Je te vois
Ça te fait quoi ?
Quand je te vois
Ça me fait ça

Et quand la danse cessera
Que jaillisse encore ta voix
Mais dieu que tu sembles si lasse
Viens t'asseoir à côté de moi
Et passe

N'aie plus d'amertume
Et parle à la lune
Tu n'as pas le choix
C'est peut être moi
Si je n'ai pas su taire
Tes mots de colère
Je m'en veux tu vois
Te donne ma foi

N'aie plus d'amertume
Et parle à la lune
Dis-lui toi que l'homme
Parfois se désole
Mais il fait si noir
Détourne-toi de moi
Tu l'as fait déjà
Tu l'as fait déjà",Moby,Mylène
Toi l'amour,Bleu Noir,2010,"4,41","Et l'autre monde qui s'en va
Dans la pénombre glissent des pas
Et l'on sait à peine d'où tu viens... tu vas
L'on sait bien quand même dire
Faut pas qu'tu t'en ailles
Jamais

Toi l'amour
Revient toujours
Retient le jour
S'incline au vent d'aimer
Car l'amour
Est à nous
Pour toujours

Malgré le monde qui saigne
Je l'appelle
Malgré l'obscur malgré l'obscène
Je l'appelle
O poussière de sentiment qui devient plaine
Je l'appelle
Tu recouvres l'âme, tu troubles le ciel
Nos veines

Toi l'amour
Revient toujours
Retient le jour
S'incline au vent d'aimer
Car l'amour
Est à nous
Pour toujours

Toi l'amour
Revient toujours
Retient le jour
S'incline au vent d'aimer
Car l'amour
Est à nous
Pour toujours",Moby,Mylène
Lonely Lisa,Bleu Noir,2010,"3,02","Elle est libre
Elle a deux vies, mais pas de chance

Pas d'équilibre
Mais elle fait de son mieux
Elle penche

Aimer
Et fondre l'or
Faire de la mort
Une immortelle

Rêver
Jusqu'à l'aurore
Aimer encore
Aimer le ciel

Lonely Lisa !
C'est bien ça
Un peu de déraison
Lonely Lisa !
Devisée
Et tous à l'unisson

Lonely Lisa !
C'est bien ça
Un peu de déraison
Plus d'à quoi bon !
Des mots libres
Des maux
Démolition

Mélancolie
Par la porte opposée elle voit
Sa folie
Qu'elle va jeter plus loin
De toi

Rêver
Et fondre l'or
Faire de nos morts
Des immortelles

Aimer
Jusqu'à l'aurore
Aimer encore
Gagner le ciel

Lonely Lisa !
C'est bien ça,
Un peu de déraison
Lonely Lisa !
Devisée
Et tous à l'unisson

Lonely Lisa !
C'est bien ça
Un peu de déraison
Plus d'à quoi bon !
Des mots libres
Des maux
Démolition

Une révolution
Tous pour la même même partition
Et la routine pas que du bon
À moins de rêver

Il nous faut une révolution
Pour créer l'envie
L'âme est ainsi
Y'a pas de génie sans grain de fo...
Sans grain de folie !

Aimer
Et fondre l'or
Faire de nos morts
Une immortelle

Rêver
Jusqu'à l'aurore
Aimer encore
Aimer le ciel

Lonely Lisa !
C'est bien ça
Un peu de déraison
Lonely Lisa !
Devisée
Et tous à l'unisson

Lonely Lisa !
C'est bien ça
Un peu de déraison
Des à quoi bon !
Des mots libres
Des maux
Révolution",RedOne,Mylène
M'effondre,Bleu Noir,2010,"3,33","Je... fais tout un peu
Rien... n'est comme je veux
Me dissous un peu
Me divise en deux
Mais là

M'effondre
M'effondre

Tout vole en éclat
Mes sens et puis mon choix
Pas d'existence
Mais vivre ma transparence

M'effondre
M'effondre
M'effondre
M'effondre

Jusqu'ici tout va
Jusqu'ici tout va bien",Moby,Mylène
Light Me Up,Bleu Noir,2010,"5,02","I'm so scared, empty,
No colour print of me, of me, of me,
I'm nobody
I stayed out, all night
Thought it was all up with me
All up with me, too scared, not fair
You're not around
I'm so alone, i'm so alone inside
I'm so alone, winter has drowned
My heart is down
Little me, little me you see

Light me up, light me up, we can never go wrong
Light me up, light me up, i'm so cold, it' so wrong
Please come to me,
Please come to me,
I dare, i care
Light me up, light me up,
We can never go wrong
Light me up, light me up,
I'm so cold in my song
Please come to me, it's all i need
Please come to me

Eyes wide open, can't sleep
Night is burning, red, red, red, red
Silence is dead
Don't belong here, you see
Thought life would bring me mystery
Sole mystery
No trace, no face, just misery
Speak up, i know the rain
Speak up, you know the pain
Speak up, speak up

Light me up, light me up
I can never go wrong
Light me up, light me up
I'm so cold, it's so wrong
Please come to me, please come to me
I dare, i care
Light me up,
We can never go wrong
Light me up,
I'm so cold in my song
Please come to me
It's all i need
Please come to me
Speak up, speak up",Darius Keeler,Mylène
Leila,Bleu Noir,2010,"3,51","Pauvre humanité muette
Pardonner
Polir le geste
Croire t'aimer
Mais choir
Prier
Que celle
Qui n'est
Pas parmi vos nombres
Part repose dans l'ombre
D'une vie
Qui n'est pas ici

Moi je sais
Moi je sais
Moi je sais
Que c'est pas la vie

Corps cassé nulle espérance
Fille aimée
D'Iran
Infiniment

Leila
Une part ensevelie de nous même
Leila
La nuit se consume elle même
Leila
Pont tendu entre ciel et terre
Leila
Leila
Leila",Darius Keeler,Mylène
Diabolique mon ange,Bleu Noir,2010,"5,01","Repos tranquille
Heure inutile
Dans cette chambre
La main qui tremble

Ne reste que les rêves
Étonnante chimère
Qui garde son empreinte
A fuit dans son étreinte

Allons ailleurs si tu veux
Conduis-moi où tu es mieux
Et plus jamais la même...
Le vent fait sourde oreille

Flik flak
Diabolique est mon ange
Tic tac
Plus rien ne nous dérange
La claque
Bien contre lui et tangue
Tic tac
On s'est aimé à s'y méprendre

Flik flak
Diabolique est mon ange
Tic tac
Plus rien ne me dérange
La claque
Suis contre lui et tangue
Et là
S'agenouiller et puis s'éprendre...

Vent ! J'ai souhaité ta mort
Temps j'ai maudit ton corps

Et plus jamais la même
À tout jamais de celles
Qui entrouvrent fenêtre
Qui parlent et puis se jettent

Flik flak
Diabolique est mon ange
Tic tac
Plus rien ne nous dérange
La claque
Bien contre lui et tangue
Tic tac
On s'est aimé à s'y méprendre

Flik flak
Diabolique est mon ange
Tic tac
Plus rien ne me dérange
La claque
Bien contre lui et tangue
Et là
S'agenouiller et puis s'éprendre...

Dans ma tête un désordre
Y remettre un peu d'ordre
N'a jamais vu ma fièvre
N'a jamais dit je t'aime
Cependant je l'aime
Cependant je l'aime
Cependant je l'aime
Cependant je l'aime

Et plus jamais la même
À tout jamais de celles
Qui entrouvrent fenêtre
Qui parlent et puis se jettent

Flik flak
Diabolique est mon ange
Flik flak
Diabolique est mon ange
Flik flak
Diabolique est mon ange
Flik flak
Diabolique est mon ange",Darius Keeler,Mylène
Inseparables,Bleu Noir,2010,"4,1","Hey it's good to see you
And you're doing well
But... deep down i love you
As you can probably tell

I wished i could believe
I could be the one
To care for and love you baby
As i could have done

I know now that everything had
to end this way
I wanted to believe in love
That it would finally stay
And i send you to the world
And i send you with a kiss
I know now that you're the one
That i will always miss.

Hey it's good to see you
And you're doing well
But deep down i love you
And i feel like hell

I wished i could believe
I could be the one
To care for and love you baby
As i could have done

I know now that everything had
to end this way
I wanted to believe in love
That it would finally stay
And i send you to the world
And i send you with a kiss
But i know now that you're the one
That i will always miss.",Moby,Moby
Inséparables - Version française,Bleu Noir,2010,"3,25","Nos anges sont à genoux
Et toi tu vas bien ?
Moi, je t'aime comme un fou
Mais ça tu le sais bien
Je rêvais d'être l'onde
Qui te fait du bien
Garder ton coeur et ton ombre
À côté du mien

Je sais là, que c'est le signe...
tout s'arrête ici
Je voudrais que l'on donne au bruit...
le souffle de nos vies
Je voulais croire en nous et voilà...
j'ai perdu les clés
Moi je sais que c'était toi...
et tu vas me manquer...

Mes anges sont à genoux
Et toi tu vas bien ?
Moi je t'aime comme un fou
Mais ça tu le sais bien
Je rêvais d'être l'aile
Qui te fait du bien
Et rêvais d'un songe éternel
Accroché au mien

Je sais là, que c'est le signe...
tout va s'arrêter
Je voudrais que l'on donne au bruit...
la douceur de l'été
Et je voulais croire en nous mais là...
j'ai paumé les clés
Je sais bien au fond de moi...
que tu vas me manquer...",Moby,Mylène
Elle a dit,Monkey Me,2012,"3,52","Nul Adonis
Nul artifice
Ni lois ni dieux
Elle sait y faire

Un brin nihiliste
Mélancolique
Parfois l'envie
Se foutre en l'air

Assise sur son lit
Le bleu dans le gris
Elle est différente
C'est sa manière

Elle n'a pas choisi
Et quand on lui dit
Que ce n'est pas là
La chose à faire

Soins intensifs
À deux c'est moins triste
Dans son cerveau
Deux hémisphères

Le gai et le triste
Un jeu d'artifices
Pouvoir aimer
Comment le faire

La peur de ne pas
Savoir où aller
Qui nous attache à cette terre

Le coeur à l'endroit
Mais l'heure a sonné
Elle a mis le sien à l'envers


Elle a dit qu'elle aime
Elle a dit aussi le monde est tel
Que l'on fuit le bruit et les sarcasmes
Elle aimait sa vie
Et c'est son charme


Et si dans sa vie
Elle aura écrit
Tant de chapitres
Inutiles

Pour le plus petit
Mot qui a guéri
Sauver une âme
C'est si fragile

Assise sur son lit
Elle regarde ""l'incompris""
Et elle n'en a plus rien à faire

Mais quoiqu'elle en dise
Elle aime une fille
Elle se sent au bord du rebord",Laurent Boutonnat,Mylène
A l'ombre,Monkey Me,2012,"4,5","L'onde
Est si calme
Un présage
D'automne
Là,
La peur s'engage
Sur mon visage
Le doute
Frissonne
Suis-je
Faite pour les rêves ?
D'une voix faible
Dis-moi
De ne plus être

À l'ombre
Risquer de n'être personne
L'on se cache et l'on se cogne
À l'ombre
On se coupe de soi-même
On s'arrache ainsi au ciel
À l'ombre
Et sentir que l'on se lâche
Que rien ni personne ne sache
Quand la nuit tombe
Las de cette vie trop brève
On devient l'ombre de soi-même

L'âme
Est la lumière
Mais l'âme erre
Sur tous les chemins
Mon cœur se ferme
Le diable harcèle
Mes lendemains
Et là
Sous les érables
Le froid se cabre
Mais toi, dis-moi
De ne pas être",Laurent Boutonnat,Mylène
Monkey Me,Monkey Me,2012,"4,13","Aucune déraison
Je suis
Dans la peau d'une autre

Si
Je suis en prison
Et j'y suis
Pourquoi pas une autre ?

Et si
Je perds la raison
Il y a de ça
Moi je paroxysme

Délivrez moi
Tap Ta Da
Je suis pas là
Suis pas de ce monde


Là
C'est un autre moi
C'est Monkey Me
C'est Monkey Me
L'animal
Là
C'est bien ici-bas
Je manque ici
Je  manque ici
De facéties

Là
C'est un autre moi
C'est Monkey Me
C'est Monkey Me
L'animal

Là
Je connais ces pas
Un Monkey Moi
Je suis Monkey... Me


Aucune déraison
Je suis
Dans la peau d'une autre

Si
Je suis sans guidon
Et j'y suis
Et ben... je me vautre

Et si
Je perds l'audition
Pense ""au-delà""
C'est une sagesse

Adoptez-moi
Ta Ta Da
Je reste coi
Je singe les ombres",Laurent Boutonnat,Mylène
Tu ne le dis pas,Monkey Me,2012,"4,22","Il nous faudra du courage
Mais
Tu ne le dis pas !
Inévitable naufrage
Mais
Tu ne le dis pas !
Et là
Voir le monde se défaire
Mais
Tu ne le dis pas !
Quoi
Qu'il n'y a plus rien à faire
Quand tout vole en éclats


Mais où va le monde
Mais où est ma tombe
Mais que devient le monde
Un tout qui s'effondre


L'aube a comme un goût de brume
Mais
Tu ne le dis pas !
L'espérance se dénude
Mais
Tu ne le dis pas !
Et là
Que n'ai-je un pinceau d'écume
Pour peindre un au-delà
Moi
Je sais bien pourquoi la lune n'a
Plus le même éclat


Epilogue
Il me faudra du courage
Mais tu ne le dis pas
Inévitable naufrage",Laurent Boutonnat,Mylène
Love Dance,Monkey Me,2012,"4,06","Do you love me
Love me do
Me do love you
Me too !
You me love do
Love me do you
Dis... love me ?

Doux est le cou
Le derrière
Du genou, co...
...missure
De la bouche, l'en...
...trecuisse
A fait mouche


La la la la la
If you say so...
La la la la la
Won't let you go !
La la la la la
How should I know ?
Que tu m'aimes moi
Méli mélo

La la la la la
If you say so...
La la la la la
Won't let me go !
La la la la la
Lupo lupo
Mon méli mélo
Méli mélo
La la la la la


Do you love me
Love me do
Me do love you
Me too !
You me love do
Love me do you
Dis... love me ?

Doux est le fou
Des fossettes
À genoux, ga...
...lipettes
De la chance, l'en...
...tre nous
Est immense


Happy birthday to you
Happy birthday to you too
Happy Birthday to you
To you to you",Laurent Boutonnat,Mylène
Quand,Monkey Me,2012,"4,07","Toi à demi mot...
Mes paroles sans échos
Pourquoi m'y faire ?

Moi
Noyée dans l'eau
Quand tu n'oses pas les mots
Vois
La rosée gèle

Quand ?
Les mots s'arrêtent sur tes lèvres
Dis-moi
Quand ?
Sauras-tu dire
Que nos Coeurs ont vu trop
Grand
Les étoiles tombent une à une
Les bougies sont de fortune
Et ces vagues de Nausées
Tu vois
J'ai l'âme enserrée

Comment
T'y prends-tu ?
Au moins le sais-tu ?
Pour mener ta vie

Dans
Le vent j'entends
Tes renoncements
La Mélodie dure se répand

Quand ?
Les mots s'arrêtent sur tes lèvres
Dis-moi
Quand ?
Sauras-tu dire
Que nos Coeurs ont vu trop
Grand
Les étoiles tombent une à une
Les bougies sont de fortune
Et ces vagues de Nausées
Tu vois
J'ai l'âme enserrée

Quand ?
Les mots s'arrêtent sur tes lèvres
Dis-moi
Quand ?
Sauras-tu dire
Que nos Coeurs ont vu trop
Grand
Les étoiles tombent une à une
Les bougies sont de fortune
Et ces vagues de Nausées
Tu vois
J'ai l'âme enserrée

Quand ?
Les mots s'arrêtent sur tes lèvres
Dis-moi
Quand ?
Pourras-tu dire
Que l'Amour est suffisant
Les étoiles tombent une à une
Mes émois sont de saturne
Et ces vagues de Nausées
Tu vois
J'ai l'âme enserrée",Laurent Boutonnat,Mylène
J'ai essayé de vivre...,Monkey Me,2012,"4,4","Danser sans cesse
Au bord du gouffre
Pourtant l'ivresse comme
Un ""entre-nous""

Voir la pénombre
Qui éclaire mon visage
On s'est dit ""ensemble
Si c'est là ton voyage""

Un sentiment de n'être
Rien du tout
A vous peut-être
Je dirai tout


Moi j'ai
Moi j'ai essayé de vivre
Donné
Ici un sens à ma vie
Aussi
Moi j'ai,
Tant voulu d'autre
Ave
Milliers d'âmes anonymes
Ave


Au claire de lune
Mon ami ""qui"" ?
Suis-je ta plume
Mais quand la nuit...

Où étais-tu alors
Puisque je t'aime
Où étais-tu encore
Imaginaire

Es-tu un rêve
Es-tu un frère
Et je manque d'air
Quand tu m'oublies",Laurent Boutonnat,Mylène
Ici-bas,Monkey Me,2012,"4,33","C'est bien ici-bas
Que j'ai voulu
... la guerre

Je rentre chez moi
Tu n'es pas là
Que suis-je sans toi ?

C'est bien ici-bas
Que j'ai voulu
... la liesse

Drôle de vie
Qui fait, pauvre de moi
Un pantin de bois

C'est comme un long chapelet
Qui porte ton nom
Que j'égrène en vain
Je compte mes prières

Balader mon spleen
Et m’étourdir est bon
Je pense à la fuite
De tous mes rêves

Toi Marie qui voit
Du haut de ton donjon
Colonie de pantins
De pauvres hères

L'âme éperdue
Plongée dans la confusion
Je t'en prie, sois là
Exauce mes prières

C'est comme un doux vent qui
Gémit et je plonge
Un à un mes yeux dans l'onde
Et la lumière

Partager mon spleen
Et m'étourdir est bon
Je pense à nos âmes
Qui s'élèvent

Toi Marie qui voit
Du haut de ton donjon
Combien je vacille
Combien je peine

Je fais vœux de vie
Vœux de contemplation
Exauce-moi oh j'existe
Pour qu'on m'aime",Laurent Boutonnat,Mylène
A-t-on jamais,Monkey Me,2012,"3,47","A-t-on jamais les mots
Pour se convaincre d'oublier ?
Marcher vers l'échafauf
Où faut-il se réfugier ?

A-t-on jamais vu mer
Se cabrer, se déchirer
Moi
J'aurais voulu te plaire
Que tu restes à mes côtés


Alléluia
Aller où tu vois...
Les montagnes

Alléluia
Donner tout de moi
Pour t'y voir


D'affronter tant de nuits
Les désastres du passé
J'ai oublié de vivre
D'accrocher l'astre à mon pied

À trop vouloir ton coeur, dis
Rien pour me raccommoder
C'est toi qui m'a donné vie
Ce soir je pose mes clés",Laurent Boutonnat,Mylène
Nuit d'hiver,Monkey Me,2012,"5,24","Eh, Oh, ce matin
Y'a Chloé qui s'est noyée",Laurent Boutonnat,Laurent Boutonnat
A force de...,Monkey Me,2012,"4,08","À l'envers
Cette terre
Il pleut sur Vienne
La vie est belle

À force de mourir
Je n'ai pas su te dire
Que j'ai envie de vivre
Donner l'envie de vivre

À force de courir
De perdre l'équilibre
Moi j'ai envie de vivre
Donner l'envie de vivre

La force des rapides
Des vents qui se déchirent
Me donnent l'envie de vivre
Donner l'envie de vivre

À force d'étincelles
Que la nature est belle
Moi j'ai envie de vivre
Et de mourir sans chaînes

Impalpable
Cette flamme
La vie est belle
Quand on aime

À force de mourir
Je n'ai pas su te dire
Que j'ai envie de vivre
Donner l'envie de vivre

À force de courir
De perdre l'équilibre
Moi j'ai envie de vivre
Donner l'envie de vivre

La force des rapides
Des vents qui se déchirent
Me donnent l'envie de vivre
Donner l'envie de vivre

À force d'étincelles
Que la nature est belle
Moi j'ai envie de vivre
Et de mourir sans chaînes",Laurent Boutonnat,Mylène
Je te dis tout,Monkey Me,2012,"5,3","Silencieux
Merveilleux
Dans ce soir mouvant
J'écoute le vent

Héritière
Passagère
De mes jours maudits
Ça je le suis

Mon amour
Je te dis tout
Tu peuples ma vie
À l'infini

Abuse le sort
Frappe à ma porte
Pose une main
Sur mon front
Sur mes seins

Si d'aventure
Je quittais terre
Tu es mon sang
Mon double aimant
Mon ADN

Et sur ton pull
Je broderais M
Pour que nos sangs
Se mêlent au vent
Mon ADN

Dénudée
Enserrée
Dans ce jeu sanglant
Je dis tout au vent

Aussi calme
Qu'un nuage
Je suis qui pardonne au temps
Aux absents

Mon amour
Je te dis tout
Tu peuples ma vie
À l'infini

Abuse le sort
Frappe à ma porte
Pose une main
Sur mon front
Sur mes seins",Laurent Boutonnat,Mylène
Interstellaires,Interstellaires,2015,"3,11","Voir l'espace
Rêver d'un ailleurs
Recommence
Dans un monde meilleur

Le ciel profond
Où je plonge
Amas d'étoiles
Un songe

Si c'était moi
Pour nos rêves
Mettre les voiles
Le jour se lève

On se prépare
Au voyage
Pour des ères
Interstellaires

Devant moi
Nébuleuses obscures
Moi diffuse
J'ai fait ce que j'ai pu

Le ciel
Profond
Où je plonge
Constellations
Dans un monde
Sans retour

(pont musical)

Si c'était moi
Pour nos rêves
Mettre les voiles
Le jour se lève

On se prépare
Au voyage
Pour des ères
Interstellaires","Martin Kierszenbaum, Mylène",Mylène
Stolen Car,Interstellaires,2015,"3,22","Late at night in summer heat
Expensive car and empty street
There's a wire in my jacket
For this is my trade
It only takes a moment
Don't be afraid

I can hotwire an ignition
Like some kind of star
I'm just a poor boy
In a rich man's car
Et le moteur s'allume enfin
Nos vies s'enlacent
And we drive into the night

Oh le cuir doux s'en mêle
Affole ton imagination
Je te vois déjà
Dans une autre situation
Tu es ""company director""
Une vie de famille
J'ai ce feeling qu il y a
Bien plus de choses à dire

There's some kind of complication
Il lui dit... he's alone
Spends the night with his lover
Il y a des traces... of her Cologne
Tous les mots de sa maitresse
À l'oreille et sans détour
Comme une chanson d'amour

Please take me dancing tonight
I've been all on my own
Les promesses d'un jour d'un soir
Je les entends comme un psaume
I'm just a prisoner of love
Prisonnière de mes failles
Take me dancing
Please take me dancing tonight

Imagine ta femme
Sa vie glisse entre ses doigts
Il y a une règle
Être chasseur ou bien la proie
Il lui dira : je rentre tard
Ses affaires, partir à Rome
Oh there's more than a suspicion
In this lingering Cologne

Et les enfants feront la tête
And she runs a traffic light
And she drives into the night

Please take me dancing tonight
I've been all on my own
Les promesses d'un jour d'un soir
Je les entends comme un psaume
I'm just a prisoner of love
Prisonnière de mes failles
Take me dancing
Please take me dancing tonight",Sting,"Mylène, Sting"
